time,true_distance,true_velocity,true_acceleration,d_linenc,d_kalman,d_error
0.38,0.0729613,0.380999,1,0.05,0.0501057,0.0228556
0.381,0.0733438,0.381999,1,0.05,0.0501057,0.0232381
0.382,0.0737273,0.382999,1,0.05,0.0501057,0.0236216
0.383,0.0741118,0.383999,1,0.05,0.0501057,0.0240061
0.384,0.0744973,0.384999,1,0.05,0.0501057,0.0243916
0.385,0.0748838,0.385999,1,0.05,0.0501057,0.0247781
0.386,0.0752713,0.386999,1,0.05,0.0501057,0.0251656
0.387,0.0756598,0.387999,1,0.05,0.0501057,0.0255541
0.388,0.0760493,0.388999,1,0.05,0.0501057,0.0259436
0.389,0.0764398,0.389999,1,0.05,0.0501057,0.0263341
0.39,0.0768313,0.390999,1,0.05,0.0501057,0.0267256
0.391,0.0772238,0.391998,1,0.05,0.0501057,0.0271181
0.392,0.0776173,0.392998,1,0.05,0.0501057,0.0275116
0.393,0.0780118,0.393998,1,0.05,0.0501057,0.0279061
0.394,0.0784073,0.394998,1,0.05,0.0501057,0.0283016
0.395,0.0788038,0.395998,1,0.05,0.0501057,0.0286981
0.396,0.0792013,0.396998,1,0.05,0.0501057,0.0290956
0.397,0.0795998,0.397998,1,0.05,0.0501057,0.0294941
0.398,0.0799993,0.398998,1,0.05,0.0501057,0.0298936
0.399,0.0803998,0.399998,1,0.05,0.0501057,0.0302941
0.4,0.0808013,0.400998,1,0.05,0.0501057,0.0306956
0.401,0.0812038,0.401998,1,0.05,0.0501911,0.0310126
0.402,0.0816073,0.402998,1,0.05,0.0501911,0.0314161
0.403,0.0820118,0.403998,1,0.05,0.0501911,0.0318206
0.404,0.0824172,0.404998,1,0.05,0.0501911,0.0322261
0.405,0.0828237,0.405998,1,0.05,0.0501911,0.0326326
0.406,0.0832312,0.406998,1,0.05,0.0501911,0.0330401
0.407,0.0836397,0.407998,1,0.05,0.0501911,0.0334486
0.408,0.0840492,0.408998,1,0.05,0.0501911,0.0338581
0.409,0.0844597,0.409998,1,0.05,0.0501911,0.0342686
0.41,0.0848712,0.410998,1,0.05,0.0501911,0.0346801
0.411,0.0852837,0.411998,1,0.05,0.0501911,0.0350926
0.412,0.0856972,0.412998,1,0.05,0.0501911,0.0355061
0.413,0.0861117,0.413998,1,0.05,0.0501911,0.0359206
0.414,0.0865272,0.414998,1,0.05,0.0501911,0.0363361
0.415,0.0869437,0.415998,1,0.05,0.0501911,0.0367526
0.416,0.0873612,0.416998,1,0.05,0.0501911,0.0371701
0.417,0.0877797,0.417998,1,0.05,0.0501911,0.0375886
0.418,0.0881992,0.418998,1,0.05,0.0501911,0.0380081
0.419,0.0886197,0.419998,1,0.05,0.0501911,0.0384286
0.42,0.0890412,0.420998,1,0.05,0.0501911,0.0388501
0.421,0.0894637,0.421998,1,0.05,0.0501911,0.0392726
0.422,0.0898872,0.422998,1,0.05,0.0501911,0.0396961
0.423,0.0903117,0.423998,1,0.05,0.0501911,0.0401206
0.424,0.0907372,0.424998,1,0.05,0.0501911,0.0405461
0.425,0.0911637,0.425998,1,0.05,0.0501911,0.0409725
0.426,0.0915912,0.426998,1,0.05,0.0501911,0.0414
0.427,0.0920197,0.427998,1,0.05,0.0501911,0.0418285
0.428,0.0924492,0.428998,1,0.05,0.0501911,0.042258
0.429,0.0928797,0.429998,1,0.05,0.0501911,0.0426885
0.43,0.0933112,0.430998,1,0.05,0.0501911,0.04312
0.431,0.0937437,0.431998,1,0.05,0.0501911,0.0435525
0.432,0.0941772,0.432998,1,0.05,0.0501911,0.043986
0.433,0.0946117,0.433998,1,0.05,0.0501911,0.0444205
0.434,0.0950472,0.434998,1,0.05,0.0501911,0.044856
0.435,0.0954837,0.435998,1,0.05,0.0501911,0.0452925
0.436,0.0959212,0.436998,1,0.05,0.0501911,0.04573
0.437,0.0963597,0.437998,1,0.05,0.0501911,0.0461685
0.438,0.0967992,0.438998,1,0.05,0.0501911,0.046608
0.439,0.0972397,0.439998,1,0.05,0.0501911,0.0470485
0.44,0.0976811,0.440998,1,0.05,0.0501911,0.04749
0.441,0.0981236,0.441998,1,0.05,0.0501911,0.0479325
0.442,0.0985671,0.442998,1,0.05,0.0501911,0.048376
0.443,0.0990116,0.443998,1,0.05,0.0501911,0.0488205
0.444,0.0994571,0.444998,1,0.05,0.0501911,0.049266
0.445,0.0999036,0.445998,1,0.05,0.0501911,0.0497125
0.446,0.100351,0.446998,1,0.1,0.099815,0.000536151
0.447,0.1008,0.447998,1,0.1,0.099815,0.000984646
0.448,0.101249,0.448998,1,0.1,0.099815,0.00143414
0.449,0.1017,0.449998,1,0.1,0.099815,0.00188464
0.45,0.102151,0.450998,1,0.1,0.099815,0.00233614
0.451,0.102604,0.451998,1,0.1,0.099815,0.00278863
0.452,0.103057,0.452998,1,0.1,0.099815,0.00324213
0.453,0.103512,0.453998,1,0.1,0.099815,0.00369663
0.454,0.103967,0.454998,1,0.1,0.099815,0.00415213
0.455,0.104424,0.455998,1,0.1,0.099815,0.00460862
0.456,0.104881,0.456998,1,0.1,0.099815,0.00506612
0.457,0.10534,0.457998,1,0.1,0.099815,0.00552461
0.458,0.105799,0.458998,1,0.1,0.099815,0.00598411
0.459,0.10626,0.459998,1,0.1,0.099815,0.00644461
0.46,0.106721,0.460998,1,0.1,0.099815,0.00690611
0.461,0.107184,0.461998,1,0.1,0.099815,0.0073686
0.462,0.107647,0.462998,1,0.1,0.099815,0.0078321
0.463,0.108112,0.463998,1,0.1,0.099815,0.00829659
0.464,0.108577,0.464998,1,0.1,0.099815,0.00876209
0.465,0.109044,0.465998,1,0.1,0.099815,0.00922859
0.466,0.109511,0.466998,1,0.1,0.099815,0.00969608
0.467,0.10998,0.467998,1,0.1,0.099815,0.0101646
0.468,0.110449,0.468998,1,0.1,0.099815,0.0106341
0.469,0.11092,0.469997,1,0.1,0.099815,0.0111046
0.47,0.111391,0.470997,1,0.1,0.099815,0.0115761
0.471,0.111864,0.471997,1,0.1,0.099815,0.0120486
0.472,0.112337,0.472997,1,0.1,0.099815,0.0125221
0.473,0.112812,0.473997,1,0.1,0.099815,0.0129966
0.474,0.113287,0.474997,1,0.1,0.099815,0.0134721
0.475,0.113764,0.475997,1,0.1,0.099815,0.0139486
0.476,0.114241,0.476997,1,0.1,0.099815,0.0144261
0.477,0.11472,0.477997,1,0.1,0.099815,0.0149046
0.478,0.115199,0.478997,1,0.1,0.099815,0.015384
0.479,0.11568,0.479997,1,0.1,0.099815,0.0158645
